BUTY MOJITO-BLACK,"512,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 45,5 46,5 41 42 43 44 45 46 47 48",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Czarny"
BUTY INSTINCT VSR LV-BLACK-VIOLET,"643,99",0 of 100,Oceń ten produkt jako pierwszy,"36,5 38,5 39,5 40,5 37 38 39 40",2025-07-14,Specyfikacja    Materiał  Mikrofibra i materiał syntetycznyPodeszwa: Vibram® XS Grip2Wkładka: skóra zamszowa    Waga (g)  225 (1 but)    Kolor  Czarny
BUTY DRAGO LV-WHITE,"619,99",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 36 37 38 39",2025-07-14,Specyfikacja    Materiał  mikrofibra; podeszwa: Vibram® XS Grip2; wkładka: skóra zamszowa    Waga (g)  215 g (1 but)    Kolor  Biały
BUTY KOPEC MID GTX-DK STRATUS-STRATUS,"733,19",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 8,5 (42 2/3) UK 9 (43 1/3) UK 9,5 (44) UK 10 (44 2/3) UK 10,5 (45 1/3) UK 11 (46)",2025-07-14,"Specyfikacja    Materiał  Cholewka: GORE-TEX®, CORDURA®Wkładka: syntetycznaŚródpodeszwa: pianka o podwójnej gęstościPodeszwa: Vibram® Megagrip    GoreTex  Tak    Kolor  Szary"
BUTY KOPEC MID GTX-BLACK-BLACK,"704,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 9,5 (44) UK 10 (44 2/3) UK 10,5 (45 1/3) UK 11 (46)",2025-07-14,"Specyfikacja    Materiał  Cholewka: GORE-TEX®, CORDURA®Wkładka: syntetycznaŚródpodeszwa: pianka o podwójnej gęstościPodeszwa: Vibram® Megagrip    GoreTex  Tak    Kolor  Czarny"
BUTY PRODIGIO HIKE GTX-BLACK-SAVANA,"949,99",0 of 100,Oceń ten produkt jako pierwszy,"40,5 41,5 42,5 44,5 40 41 43",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał syntetyczny High Tenacity Mesh, termoplastyczny poliuretan, włókna mesh TPEE, GORE-TEX® Extended ComfortWkładka: Ortholite Hybrid 5 mmŚródpodeszwa: pianka EVAPodeszwa: FriXion RED    GoreTex  Tak    Waga (g)  375 (1/2 pary)    Kolor  Czarny"
BUTY ULTRA RAPTOR II MID LEATHER GTX-BLACK-CEDAR,"899,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 41 42 44 46",2025-07-14,"Specyfikacja    Materiał   Cholewka: nubuk, Gore-Tex® Extended ComfortWkładka: Ortholite® Mountain RunningPodeszwa środkowa: Memlex EVAPodeszwa: FriXion® Blue    GoreTex  Tak    Waga (g)  450 (1 but)    Kolor  Czarny"
BUTY AEQUILIBRIUM HIKE GTX-CARBON-YELLOW,"928,99",0 of 100,Oceń ten produkt jako pierwszy,"46,5",2025-07-14,"Specyfikacja    Materiał  cholewka: materiał syntetyczny, Gore-Tex® Extended Comfort ze standardem bluesignwkładka: La Sportiva Mountain Hiking 5 mmpodeszwa środkowa: pianka poliuretanowa, termoplastyczny poliuretanpodeszwa zewnętrzna: Vibram®    GoreTex  Tak    Waga (g)  ok. 480 (½ pary)    Kolor  Szary"
BUTY AEQUILIBRIUM HIKE GTX-CARBON-TROPIC BLUE,"929,99",0 of 100,Oceń ten produkt jako pierwszy,"42,5 44,5 46,5 43 44",2025-07-14,"Specyfikacja    Materiał  cholewka: materiał syntetyczny, Gore-Tex® Extended Comfort ze standardem bluesignwkładka: La Sportiva Mountain Hiking 5 mmpodeszwa środkowa: pianka poliuretanowa, termoplastyczny poliuretanpodeszwa zewnętrzna: Vibram®    GoreTex  Tak    Waga  ok. 480 g (½ pary)    Kolor  Szary"
BUTY AEQUILIBRIUM TREK GTX-CHOCOLATE-PAPAYA,"1079,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 43,5 45,5 42 45",2025-07-14,Specyfikacja    Materiał  Skóra Hydro-PerwengerPodeszwa: Vibram®Podeszwa wewnętrzna: pianka PU    GoreTex  Tak    Waga (g)  540 (1 but)    Kolor  Brązowy
