BUTY RIBELLE LITE HD WOMEN-AQUA GREEN- AQUA GREEN,"1258,13",0 of 100,Oceń ten produkt jako pierwszy,"38,5 39,5 40,5 41,5 38 39 40 41",2025-07-14,Specyfikacja    Materiał  Cholewka - Tech Fabric+ MicrotechMembrana HDry®podeszwa - Vibram® MontPodeszwa wewnętrzna - pianka PU    Waga (g)  565 (1 but)    Waga  565 g (1 but)    Kolor  Niebieski
BUTY X ULTRA 360 MID GTX WOMEN-BLACK-PLUM KITTEN-SHALE,"547,49",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37 1/3)",2025-07-14,"Specyfikacja    Materiał    Cholewka: tkanina, GORE-TEX® Performance ComfortWkładka: OrthoLite®Śródpodeszwa: Energy CellPodeszwa: Contagrip®    GoreTex  Tak    Waga (g)  345 (½ pary rozm. 38)    Kolor  Czarny"
BUTY MOJITO-SHARK,"572,79",0 of 100,Oceń ten produkt jako pierwszy,"40,5 41,5 42,5 43,5 44,5 45,5 46,5 39 40 41 42 43 44 46 47",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Szary"
BUTY MOJITO-PETROL,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"37,5 39,5 41,5 37 40 41",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Granatowy"
BUTY MOJITO-OCEAN,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"43,5 45,5 41 45",2025-07-14,"Specyfikacja    Materiał  cholewka:skóra zamszowapodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Niebieski"
BUTY MOJITO-IRON GRAY,"558,47",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 41,5 42,5 43,5 44,5 46,5 39 40 41 42 43 44 47",2025-07-14,"Specyfikacja    Materiał  cholewka:skóra zamszowapodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Szary"
BUTY MOJITO-BLACK,"512,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 42,5 43,5 44,5 45,5 46,5 41 42 43 44 45 46 47 48",2025-07-14,"Specyfikacja    Materiał  Cholewka:skóra zamszowaPodeszwa:Vibram Spyder    Waga (g)  350 (jeden but, rozm. 42)    Kolor  Czarny"
BUTY MESCALITO WOMEN-SMOKE-TROPICAL GREEN,"767,51",0 of 100,Oceń ten produkt jako pierwszy,"37,5 40,5 41,5 37 40 41",2025-07-14,"Specyfikacja    Materiał  Cholewka – skóra zamszowa 1,8 mm; Podeszwa – Vibram Megagrip;    Waga (g)  330 (1 but)    Kolor  Szary"
BUTY DRAGO LV-WHITE,"619,99",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 36 37 38 39",2025-07-14,Specyfikacja    Materiał  mikrofibra; podeszwa: Vibram® XS Grip2; wkładka: skóra zamszowa    Waga (g)  215 g (1 but)    Kolor  Biały
BUTY KOPEC GTX WOMEN-SOLITUDE-ESOTERIC,"662,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 5 (38) UK 5,5 (38 2/3) UK 6 (39 1/3) UK 6,5 (40) UK 7 (40 2/3)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: CORDURA®, GORE-TEX®, Wyściółka: tekstylna, Śródpodeszwa: pianka o podwójnej gęstości, Podeszwa: Vibram® Megagrip, Drop: 7,7 mm    Wyściółka  Materiał tekstylny    Waga (g)  ok. 260  (½ pary)    Kolor  Szary"
BUTY KOPEC GTX WOMEN-BLACK-BLACK,"637,49",0 of 100,Oceń ten produkt jako pierwszy,"UK 5 (38) UK 5,5 (38 2/3) UK 6 (39 1/3)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: CORDURA®, GORE-TEX®, Wyściółka: tekstylna, Śródpodeszwa: pianka o podwójnej gęstości, Podeszwa: Vibram® Megagrip, Drop: 7,7 mm    Wyściółka  Materiał tekstylny    Waga (g)  ok. 260  (½ pary)    Kolor  Czarny"
BUTY OTAKI-BLUE-FLAME,"639,99",0 of 100,Oceń ten produkt jako pierwszy,,2025-07-14,"Specyfikacja    Materiał  mikrofibra, zamsz    Waga  270 (½ pary)    Kolor  Niebieski"
